id,requirements,phase,scenario,exercise,expected,scope,status,evidence
A01,C01; C21,P3,Managed offline first workflow,Install the packaged app without development Python or populated caches; acquire the approved complete pack; disconnect; import and transcribe audio and video.,"No shell/model-server setup; real text produced locally; missing resources lead to explicit setup repair, not hidden downloads.",All advertised desktops,NOT RUN — proposed application acceptance test,
A02,C02,P0,English–Filipino quality,"Use authorized bilingual reference recordings with within-sentence switches, accents, local names and specialist terms; score recognition and manual correction effort.","No unsupported claim based on English-only scores; record omissions, unwanted translation, names and switch-region errors; choose pack against approved quality criteria.",Approved corpus and candidate models,NOT RUN — proposed application acceptance test,
A03,C03; C16,P0,Full-length resource and throughput benchmark,"Process the demanding roughly two-hour many-speaker recording; record hardware, complete pipeline stages, peak resources and responsiveness.",Report real-time factor against the 0.4–0.6 aspiration without claiming all devices pass; no unbounded memory or truncated output.,Named CPU and GPU desktop baselines,NOT RUN — proposed application acceptance test,
A04,C04; C05,P4,Readable document and word navigation,"Open a long speaker-grouped transcript; seek by word; play, pause, speed-change and replay a selection in review and edit modes.",Words track actual playback; text remains readable; caret/selection/undo are not changed by playback and missing timings are explicit.,Packaged desktop UI,NOT RUN — proposed application acceptance test,
A05,C04; C23,P4,Follow scrolling and normal text entry,Scroll away while playing; select/edit text; type spaces and IME text; resume Follow playback; repeat with reduced motion.,No forced scroll snapback or stolen typing shortcuts; explicit follow control works without animation in reduced-motion mode.,"Keyboard, pointer and assistive technology",NOT RUN — proposed application acceptance test,
A06,C06,P4,Manual speaker authority,"Rename, split, merge and reassign speakers; allow a later global diarization pass to propose different clusters.",Project speaker IDs and explicit names/assignments survive; conflicting proposals appear for review rather than replacing manual fields.,Domain and real inference integration,NOT RUN — proposed application acceptance test,
A07,C07; C03,P0,Overlapping speech fidelity,Test genuine simultaneous speech and returning speakers across a long meeting; inspect regular and exclusive diarization projections.,All detected/recognized layers remain representable; missing voices are not hidden by a single-speaker projection; limitations and correction effort recorded.,Corpus benchmark and schema tests,NOT RUN — proposed application acceptance test,
A08,C08; C09,P4,Reversible detail policies,"Switch Verbatim/Readable/Words only around fillers, Filipino particles, repetitions and non-speech events; edit an item and reset the policy.",Fuller text and audio preserved; no silent rewriting/translation or invented content; export selection is explicit.,Domain and editor,NOT RUN — proposed application acceptance test,
A09,C10; C11,P2,Three recorder modes,"Record mic only, computer audio only and both; stop, reopen and transcribe each through the real adapter.",Saved playable audio matches selected inputs; no live ASR or video capture required; modes are not fake UI controls.,Every supported desktop capture backend,NOT RUN — proposed application acceptance test,
A10,C12,P2,Per-app capture and honest fallback,"Choose an app, play unrelated notification/media sounds, test an unsupported backend and terminate the selected app while recording.",Supported capture isolates the declared scope; unsupported/lost scope never silently broadens; whole-computer fallback requires a visible choice.,Supported OS versions and apps,NOT RUN — proposed application acceptance test,
A11,C10; C11,P2,Recording crash and permission recovery,"Pause/resume, revoke permission, unplug devices, sleep the computer, exhaust disk space and terminate the app during capture.",Committed fragments survive; gaps/interruption are explicit; capture does not continue invisibly or claim silence as successful system audio.,Native devices and recovery fault injection,NOT RUN — proposed application acceptance test,
A12,C10; C03,P2,Mic/system drift and feedback,Record mic plus system for a long session with identifiable common events and device changes; try app playback during capture.,Measured clock maps preserve synchronization; app output is excluded or conflicting playback blocked; no unverified echo-cancellation claim.,Actual audio hardware,NOT RUN — proposed application acceptance test,
A13,C13; C14,P1,Owned media and linked relinking,"Import in copy and link modes; move/delete originals; reopen, edit/export and relink; attempt substituting a different file.",Copied project survives original removal; linked project remains transcript-editable; changed media needs explicit source revision; no external original is modified.,Storage integration,NOT RUN — proposed application acceptance test,
A14,C13; C08,P1,Atomic edits and honest save status,Inject failure before/after edit DB commit and media finalization; reopen; export emergency text after a write failure.,Saved means durable commit; no half-applied edit or falsely successful save; recoverable in-memory text and precise recovery route remain.,Storage fault injection and UI,NOT RUN — proposed application acceptance test,
